Sister Princess, 836
Kyou no 5 no 2, 837
Narutaru: Mukuro Naru Hoshi Tama Taru Ko, 838
Samurai Spirits 2: Asura Zanmaden, 839
Narue no Sekai, 840
Colorful, 841
Ushio to Tora, 842
Konjiki no Gash Bell!!: 101-banme no Mamono, 844
Kiba, 845
School Rumble Ni Gakki, 846
Jinki:Extend - Sorekara, 848
Suzumiya Haruhi no Yuuutsu, 849
Gakuen Heaven, 850
Kyou kara Ore wa!!, 851
Gokinjo Monogatari, 852
Ouran Koukou Host Club, 853
Soul Link, 854
Strawberry Panic, 855
Utawarerumono, 856
Air Gear, 857
Himawari!, 910
Konjiki no Gash Bell!!: Mecha Vulkan no Raishuu, 911
Ninkuu, 912
Kakutou Bijin Wulong, 913
Ike! Ina-chuu Takkyuu-bu, 914
Ginga Densetsu Weed, 915
Tokkou, 916
Riding Bean, 917
Gintama, 918
Ray The Animation, 919
Nurse Witch Komugi-chan Magikarte Special, 920
Nurse Witch Komugi-chan Magikarte Z, 921
Transformers: Choujin Master Force, 924
Transformers: The☆Headmasters, 925
Tatakae! Chou Robot Seimeitai Transformers Victory, 926
Transformers Superlink, 927
Transformers Galaxy Force, 928
Seisenshi Dunbine, 929
Densetsu Kyojin Ideon, 930
Ichigeki Sacchuu!! Hoihoi-san, 932
Dai Mahou Touge, 933
Higurashi no Naku Koro ni, 934
Witchblade, 935
Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!, 936
Appleseed, 937
Yokoyama Mitsuteru Sangokushi, 970
Astro Boy: Tetsuwan Atom, 971
Bible Black Gaiden, 972
Glass no Kantai: La Legende du Vent de l'Univers, 973
Dead Leaves, 974
Yokohama Kaidashi Kikou, 975
Yokohama Kaidashi Kikou: Quiet Country Cafe, 976
Ginga Teikoku no Metsubou Gaiden: Aoki Ookami-tachi no Densetsu, 977
Change!! Getter Robo: Sekai Saigo no Hi, 978
Street Fighter Zero The Animation, 979
Rikujou Bouei-tai Mao-chan, 980
Ichigo 100% OVA, 981
Cosplay Complex, 982
Cosplay Complex: Extra Identification, 983
Dragon Ball Z: Saiya-jin Zetsumetsu Keikaku, 984
